id,screen_name,followers_count,score
937962626222497793,dev_discourse,164026,5
1436349152850497536,SyedRahman22,4514,5
758701597107032065,DerekJGrossman,42860,2
1194559248,PPP_Org,268387,0
1182592858605473792,NasirAbbasiPPPP,4303,0
1365157964,Jodi_LVK,4365,1
16129920,maddow,10626050,1
30586620,takemusu,9732,1
28571999,bespokeinvest,150745,2
84365116,AnneMarieTrades,34541,1
15212187,bennyjohnson,676796,-8
1349518522809004033,Brent35326403,10890,1
3256876080,conspiracyb0t,367575,-1
4855044657,ZiffyKat,12219,-1
1270133776748855304,TonyHussein4,24425,15
1378061504000495618,Sarge01693915,2978,1
2397468266,TruthSeeker____,29125,1
493390391,LoriBlaney,8930,0
23847371,dave1agar,4774,-1
846859494063833088,SirLetshela,11412,-1
1232247080191696896,NSA_Party,5293,-1
14606079,propublica,935332,1
14511951,HuffPost,11360856,1
1626294277,spectatorindex,2236915,25
539615809,Orangeman1992,4029,1
4148621113,softwarnet,5341,3
4829293426,CeeDoraReads,5096,1
15692273,madmilker,7751,1
288363743,matthewjdowd,267694,1
1067084978171850753,Beingumar_786,8275,1
101822355,WahidKashir,3781,0
3223426134,SethAbramson,935653,5
2795242319,FinzGreta,8493,3
70134931,SunjazzD,11321,-1
386742828,TIMEIdeas,42601,-1
17004629,johnvmoore,5099,1
1361644420785975296,pepper26potts,2577,1
3397421086,hipnewsservice,3248,1
43930301,WDRBNews,150522,1
2742779667,smokeydogg777,4830,1
48038024,karentravers,37037,-1
1439532902883151875,Stuzipants,5233,1
738513388570087424,Moggy8691,3298,1
132385468,BeingSalmanKhan,44146218,3
885397952138813440,beingSanii,4141,1
308269557,aproko_doctor,1660651,-4
1348813562328838145,_Icallie,3210,-1
18046301,mikeysmith,30375,0
2903522393,Communications,31243,1
1095941857299910656,riyazulkhaliq,2536,8
1292415606,siddharthjourno,6813,1
1249981214,Manoranjan_INC,8466,1
2441666255,PeterStefanovi2,381763,-1
1421145612,Sunnyclaribel,5845,2
31481648,macksauce1,11093,2
2789574570,ParsleyJane8,13607,1
62554155,ceebee308,523675,1
277819712,debbrownbooks,18537,1
54999242,Shambles151,37434,2
2857046853,ferguson2811,4108,2
66927021,peacefmonline,847121,0
1067397375512199168,LabourDesign,21501,-2
598306677,CormacJOKeeffe,4226,1
1496927438277910529,meserehiluf,2967,14
961113187453165569,Franktheshank88,105974,1
2736270758,jbradye4344,5274,3
1098838603654930432,darkieSZN,2637,-2
1298372735383605249,RonFilipkowski,366387,1
16917851,sheshedtrump,11278,1
758308157542305792,bra_marfo_,19287,1
704718761060868096,ReaderAdrift,11560,1
1220645714,C_Stroop,68732,2
1427825035922792458,chafa198,173703,2
1471423741125087232,_Your_Sweet_Cat,21265,1
17121651,amnestyOz,65628,1
1060647489945133056,CUyghurs,11879,1
1066629843561979904,FerwiniB,11850,11
1483582192609796099,Natsinet_Gezma,2935,3
16116288,rolandsmartin,654831,-1
1405924987295436809,BlkStarNetwork,5332,-1
1068432334519787521,JarOfsilver,3180,2
